Name,Team,BarrelAllowed%,FBAllowed%,HR9,LDAllowed%,ChaseAllowed%,EVAllowed,LAAllowed,SwStr%Induced,Zone%,Last14ERA,Last14HHAllowed%,CSW%,Throws
Sandy Alcantara,Miami Marlins,6.8,25.2,0,23.0,32.0,88.4,11.2,20.9,52.2,0,37.2,26.0,R
Braxton Ashcraft,Pittsburgh Pirates,5.7,25.8,0,18.8,36.4,89.9,13.4,27.8,52.1,0,38.5,28.0,R
Bryce Miller,Seattle Mariners,4.6,26.2,0,21.5,35.8,85.6,17.6,29.3,49.9,0,24.6,28.0,R
Zack Littell,Washington Nationals,10.6,36.9,0,18.9,26.6,92.4,19.3,16.2,50.0,0,45.2,25.0,R
Griffin Canning,San Diego Padres,10.1,21.3,0,20.2,24.5,92.2,7.7,25.1,43.8,0,50.6,28.0,R
Shane Baz,Baltimore Orioles,9.1,24.9,0,30.5,30.3,90.5,14.0,20.6,49.0,0,41.2,26.0,R
Jack Flaherty,Detroit Tigers,9.0,28.1,0,27.5,26.5,91.3,21.5,26.8,44.9,0,48.3,28.0,R
Tanner Bibee,Cleveland Guardians,9.6,27.5,0,24.5,25.7,90.8,16.2,26.5,50.9,0,45.4,27.0,R
Jack Leiter,Texas Rangers,11.1,32.2,0,22.6,29.8,88.0,15.6,25.6,48.7,0,40.7,26.0,R
Sonny Gray,Boston Red Sox,8.5,19.4,0,27.6,31.0,88.4,9.3,21.7,46.6,0,35.9,24.0,R
Eduardo Rodriguez,Arizona Diamondbacks,8.0,26.2,0,27.0,29.2,88.5,12.6,19.2,47.8,0,35.9,25.0,L
Nick Lodolo,Cincinnati Reds,12.2,27.7,0,25.7,34.0,89.3,11.6,22.3,43.8,0,38.6,27.0,L
Nolan McLean,New York Mets,6.6,23.6,0,23.6,27.1,86.6,9.1,24.4,48.6,0,35.7,25.0,R
Spencer Strider,Atlanta Braves,10.5,38.4,0,22.1,28.8,89.3,22.9,31.1,44.8,0,36.0,30.0,R
Ryan Weathers,Toronto Blue Jays,11.9,26.3,0,24.2,29.6,89.5,12.7,27.1,46.7,0,42.5,27.0,L
Roki Sasaki,Los Angeles Dodgers,8.0,26.2,0,22.0,28.0,88.0,12.0,26.0,50.0,0,38.0,27.0,R
Anthony Kay,Chicago White Sox,10.3,22.3,0,25.4,32.4,89.6,12.1,20.2,43.7,0,41.6,25.0,L
Tatsuya Imai,Houston Astros,9.2,23.0,0,18.4,25.8,91.0,10.2,30.2,44.7,0,47.1,28.0,R
Luinder Avila,Kansas City Royals,8.1,25.3,0,19.5,27.0,87.1,10.4,23.4,44.9,0,31.0,26.0,R
Kyle Leahy,St Louis Cardinals,10.9,23.3,0,29.0,26.2,91.9,8.2,22.1,47.9,0,49.2,28.0,R
Joe Ryan,Minnesota Twins,10.8,31.0,0,20.7,32.5,89.6,19.0,25.0,52.3,0,42.9,27.0,R
Shane McClanahan,Tampa Bay Rays,9.1,28.7,0,20.1,32.2,89.2,10.0,27.2,49.5,0,39.0,27.0,L
Sam Aldegheri,Los Angeles Angels,7.9,34.2,0,21.1,32.1,86.5,27.4,25.0,45.2,0,34.2,28.0,L
Gage Jump,Colorado Rockies,3.8,22.6,0,30.2,33.8,88.5,15.5,21.3,51.7,0,30.2,25.0,L
Javier Assad,Chicago Cubs,5.0,27.7,0,19.8,21.5,90.9,12.0,14.7,51.6,0,50.5,26.0,R
Landen Roupp,San Francisco Giants,3.3,18.5,0,25.0,29.5,87.7,9.4,26.3,41.7,0,30.4,27.0,R

Andrew Painter,Milwaukee Brewers,8.9,29.2,0,21.4,32.8,87.1,16.9,22.0,47.9,0,34.9,25.0,R
Jacob Misiorowski,Philadelphia Phillies,2.5,22.3,0,24.8,30.8,87.2,11.4,37.8,51.4,0,31.8,32.0,R
