Hitter,Pitcher,Game
Heriberto Hernandez,Jesus Luzardo,MIA vs PHI
Owen Caissie,Jesus Luzardo,MIA vs PHI
Kyle Stowers,Jesus Luzardo,MIA vs PHI
Otto Lopez,Jesus Luzardo,MIA vs PHI
Joe Mack,Jesus Luzardo,MIA vs PHI
Xavier Edwards,Jesus Luzardo,MIA vs PHI
Christopher Morel,Jesus Luzardo,MIA vs PHI
Kyle Schwarber,Tyler Phillips,MIA vs PHI
Bryce Harper,Tyler Phillips,MIA vs PHI
Brandon Marsh,Tyler Phillips,MIA vs PHI
Bryson Stott,Tyler Phillips,MIA vs PHI
JT Realmuto,Tyler Phillips,MIA vs PHI
Alec Bohm,Tyler Phillips,MIA vs PHI
Bobby Witt Jr,Foster Griffin,KC vs WSH
Jac Caglianone,Foster Griffin,KC vs WSH
Starling Marte,Foster Griffin,KC vs WSH
Michael Massey,Foster Griffin,KC vs WSH
Carter Jensen,Foster Griffin,KC vs WSH
Maikel Garcia,Foster Griffin,KC vs WSH
Lane Thomas,Foster Griffin,KC vs WSH
James Wood,Michael Wacha,KC vs WSH
Luis Garcia Jr,Michael Wacha,KC vs WSH
Dylan Crews,Michael Wacha,KC vs WSH
CJ Abrams,Michael Wacha,KC vs WSH
Curtis Mead,Michael Wacha,KC vs WSH
Daylen Lile,Michael Wacha,KC vs WSH
Jacob Young,Michael Wacha,KC vs WSH
Kazuma Okamoto,Payton Tolle,TOR vs BOS
Jesus Sanchez,Payton Tolle,TOR vs BOS
Vladimir Guerrero Jr,Payton Tolle,TOR vs BOS
Brandon Valenzuela,Payton Tolle,TOR vs BOS
Davis Schneider,Payton Tolle,TOR vs BOS
George Springer,Payton Tolle,TOR vs BOS
Willson Contreras,Dylan Cease,TOR vs BOS
Wilyer Abreu,Dylan Cease,TOR vs BOS
Jarren Duran,Dylan Cease,TOR vs BOS
Ceddanne Rafaela,Dylan Cease,TOR vs BOS
Marcelo Mayer,Dylan Cease,TOR vs BOS
Juan Soto,Brady Singer,NYM vs CIN
Jared Young,Brady Singer,NYM vs CIN
Carson Benge,Brady Singer,NYM vs CIN
Bo Bichette,Brady Singer,NYM vs CIN
Francisco Alvarez,Brady Singer,NYM vs CIN
Mark Vientos,Brady Singer,NYM vs CIN
MJ Melendez,Brady Singer,NYM vs CIN
JJ Bleday,Kodai Senga,NYM vs CIN
Sal Stewart,Kodai Senga,NYM vs CIN
Spencer Steer,Kodai Senga,NYM vs CIN
Nathaniel Lowe,Kodai Senga,NYM vs CIN
Dane Myers,Kodai Senga,NYM vs CIN
Tyler Stephenson,Kodai Senga,NYM vs CIN
Matt McLain,Kodai Senga,NYM vs CIN
Bryce Eldridge,Grant Holmes,SF vs ATL
Rafael Devers,Grant Holmes,SF vs ATL
Casey Schmitt,Grant Holmes,SF vs ATL
Willy Adames,Grant Holmes,SF vs ATL
Matt Chapman,Grant Holmes,SF vs ATL
Drake Baldwin,Adrian Houser,SF vs ATL
Matt Olson,Adrian Houser,SF vs ATL
Michael Harris II,Adrian Houser,SF vs ATL
Austin Riley,Adrian Houser,SF vs ATL
Ozzie Albies,Adrian Houser,SF vs ATL
Angel Martinez,Robert Gasser,CLE vs MIL
Kyle Manzardo,Robert Gasser,CLE vs MIL
David Fry,Robert Gasser,CLE vs MIL
Chase DeLauter,Robert Gasser,CLE vs MIL
Rhys Hoskins,Robert Gasser,CLE vs MIL
Travis Bazzana,Robert Gasser,CLE vs MIL
Jake Bauers,Slade Cecconi,CLE vs MIL
Jackson Chourio,Slade Cecconi,CLE vs MIL
Garrett Mitchell,Slade Cecconi,CLE vs MIL
Brice Turang,Slade Cecconi,CLE vs MIL
William Contreras,Slade Cecconi,CLE vs MIL
Christian Yelich,Slade Cecconi,CLE vs MIL
Fernando Tatis Jr,Andre Pallante,SD vs STL
Jackson Merrill,Andre Pallante,SD vs STL
Manny Machado,Andre Pallante,SD vs STL
