Hitter,Pitcher,Game
Gavin Sheets,Andre Pallante,SD vs STL
Rodolfo Duran,Andre Pallante,SD vs STL
Alec Burleson,Michael King,SD vs STL
Jordan Walker,Michael King,SD vs STL
Lars Nootbaar,Michael King,SD vs STL
JJ Wetherholt,Michael King,SD vs STL
Ivan Herrera,Michael King,SD vs STL
Hunter Goodman,Edward Cabrera,COL vs CHC
Edouard Julien,Edward Cabrera,COL vs CHC
Kyle Karros,Edward Cabrera,COL vs CHC
Willi Castro,Edward Cabrera,COL vs CHC
TJ Rumfield,Edward Cabrera,COL vs CHC
Troy Johnston,Edward Cabrera,COL vs CHC
Pete Crow-Armstrong,Ryan Feltner,COL vs CHC
Ian Happ,Ryan Feltner,COL vs CHC
Michael Busch,Ryan Feltner,COL vs CHC
Seiya Suzuki,Ryan Feltner,COL vs CHC
Dansby Swanson,Ryan Feltner,COL vs CHC
Alex Bregman,Ryan Feltner,COL vs CHC
Michael Conforto,Ryan Feltner,COL vs CHC
Byron Buxton,Kumar Rocker,MIN vs TEX
Kody Clemens,Kumar Rocker,MIN vs TEX
Royce Lewis,Kumar Rocker,MIN vs TEX
Josh Bell,Kumar Rocker,MIN vs TEX
Victor Caratini,Kumar Rocker,MIN vs TEX
Brooks Lee,Kumar Rocker,MIN vs TEX
Joc Pederson,Zebby Matthews,MIN vs TEX
Brandon Nimmo,Zebby Matthews,MIN vs TEX
Jake Burger,Zebby Matthews,MIN vs TEX
Josh Jung,Zebby Matthews,MIN vs TEX
Kyle Higashioka,Zebby Matthews,MIN vs TEX
Ezequiel Duran,Zebby Matthews,MIN vs TEX
Riley Greene,Framber Valdez,DET vs HOU
Kerry Carpenter,Framber Valdez,DET vs HOU
Dillon Dingler,Framber Valdez,DET vs HOU
Spencer Torkelson,Framber Valdez,DET vs HOU
Colt Keith,Framber Valdez,DET vs HOU
Kevin McGonigle,Framber Valdez,DET vs HOU
Yordan Alvarez,Hunter Brown,DET vs HOU
Christian Walker,Hunter Brown,DET vs HOU
Cam Smith,Hunter Brown,DET vs HOU
Isaac Paredes,Hunter Brown,DET vs HOU
Jose Altuve,Hunter Brown,DET vs HOU
Mike Trout,Merrill Kelly,LAA vs ARI
Jo Adell,Merrill Kelly,LAA vs ARI
Zach Neto,Merrill Kelly,LAA vs ARI
Logan OHoppe,Merrill Kelly,LAA vs ARI
Oswald Peraza,Merrill Kelly,LAA vs ARI
Corbin Carroll,Reid Detmers,LAA vs ARI
Ketel Marte,Reid Detmers,LAA vs ARI
Gabriel Moreno,Reid Detmers,LAA vs ARI
Jordan Lawlar,Reid Detmers,LAA vs ARI
Geraldo Perdomo,Reid Detmers,LAA vs ARI
Bryan Reynolds,Jack Perkins,PIT vs ATH
Brandon Lowe,Jack Perkins,PIT vs ATH
Ryan OHearn,Jack Perkins,PIT vs ATH
Henry Davis,Jack Perkins,PIT vs ATH
Spencer Horwitz,Jack Perkins,PIT vs ATH
Marcell Ozuna,Jack Perkins,PIT vs ATH
Nick Kurtz,Mitch Keller,PIT vs ATH
Shea Langeliers,Mitch Keller,PIT vs ATH
Tyler Soderstrom,Mitch Keller,PIT vs ATH
Zack Gelof,Mitch Keller,PIT vs ATH
Carlos Cortes,Mitch Keller,PIT vs ATH
Lawrence Butler,Mitch Keller,PIT vs ATH
Pete Alonso,Logan Gilbert,BAL vs SEA
Adley Rutschman,Logan Gilbert,BAL vs SEA
Gunnar Henderson,Logan Gilbert,BAL vs SEA
Samuel Basallo,Logan Gilbert,BAL vs SEA
Colton Cowser,Logan Gilbert,BAL vs SEA
Dominic Canzone,Brandon Young,BAL vs SEA
Julio Rodriguez,Brandon Young,BAL vs SEA
Randy Arozarena,Brandon Young,BAL vs SEA
Luke Raley,Brandon Young,BAL vs SEA
Cole Young,Brandon Young,BAL vs SEA
Josh Naylor,Brandon Young,BAL vs SEA
Junior Caminero,Drew Rasmussen,TB vs LAD
Jonathan Aranda,Drew Rasmussen,TB vs LAD
Yandy Diaz,Drew Rasmussen,TB vs LAD
Ryan Vilade,Drew Rasmussen,TB vs LAD
Ben Williamson,Drew Rasmussen,TB vs LAD
Cedric Mullins,Drew Rasmussen,TB vs LAD
Shohei Ohtani,Justin Wrobleski,TB vs LAD
Max Muncy,Justin Wrobleski,TB vs LAD
Freddie Freeman,Justin Wrobleski,TB vs LAD
Mookie Betts,Justin Wrobleski,TB vs LAD
Kyle Tucker,Justin Wrobleski,TB vs LAD
Andy Pages,Justin Wrobleski,TB vs LAD
Ben Rice,Davis Martin,NYY vs CWS
Jazz Chisholm Jr,Davis Martin,NYY vs CWS
Cody Bellinger,Davis Martin,NYY vs CWS
Paul Goldschmidt,Davis Martin,NYY vs CWS
Ryan McMahon,Davis Martin,NYY vs CWS
Jasson Dominguez,Davis Martin,NYY vs CWS
Miguel Vargas,Garrett Cole,NYY vs CWS
Colson Montgomery,Garrett Cole,NYY vs CWS
Andrew Benintendi,Garrett Cole,NYY vs CWS
Sam Antonacci,Garrett Cole,NYY vs CWS
Jacob Gonzalez,Garrett Cole,NYY vs CWS
