Name,Team,BarrelAllowed%,FBAllowed%,HR9,LDAllowed%,ChaseAllowed%,EVAllowed,LAAllowed,SwStr%Induced,Zone%,Last14ERA,Last14HHAllowed%,CSW%,Throws
Jacob Misiorowski,Philadelphia Phillies,2.5,22.3,0,24.8,30.8,87.2,11.4,37.8,51.4,0,31.8,32.0,R
Andrew Painter,Milwaukee Brewers,8.9,29.2,0,21.4,32.8,87.1,16.9,22.0,47.9,0,34.9,25.0,R
Rhett Lowder,Arizona Diamondbacks,8.1,25.2,0,22.8,24.4,90.5,14.3,19.2,47.2,0,40.2,25.0,R
Michael Soroka,Cincinnati Reds,8.0,27.2,0,24.4,34.3,87.7,17.0,22.1,48.1,0,33.3,26.0,R
Martin Perez,New York Mets,7.7,25.0,0,24.4,27.8,89.0,10.2,22.3,46.4,0,39.7,26.0,L
Nolan McLean,Atlanta Braves,6.6,23.6,0,23.6,27.1,86.6,9.1,24.4,48.6,0,35.7,25.0,R
Spencer Strider,New York Mets,10.5,38.4,0,22.1,28.8,89.3,22.9,31.1,44.8,0,36.0,30.0,R
Aaron Nola,Toronto Blue Jays,9.1,25.4,0,25.4,33.0,88.3,14.1,25.9,43.8,0,39.6,27.0,R
Cam Schlittler,New York Yankees,7.0,27.2,0,21.6,35.6,88.4,12.5,27.5,50.0,0,41.3,28.0,R
Kevin Gausman,Toronto Blue Jays,8.3,24.2,0,24.2,34.7,88.1,15.6,27.0,45.3,0,37.7,27.0,R
Yoshinobu Yamamoto,Chicago White Sox,7.3,24.4,0,23.4,34.3,88.3,9.1,29.5,48.1,0,37.1,27.0,R
Sean Burke,Los Angeles Dodgers,6.6,28.1,0,25.5,31.1,89.2,17.6,21.4,49.1,0,36.2,27.0,R
Noah Cameron,Kansas City Royals,9.3,25.6,0,27.2,29.0,89.5,16.3,24.3,49.8,0,41.0,26.0,R
Tatsuya Imai,Houston Astros,9.2,23.0,0,18.4,25.8,91.0,10.2,30.2,44.7,0,47.1,28.0,R
Connor Prielipp,St Louis Cardinals,9.2,26.4,0,24.8,31.7,89.7,15.2,23.1,45.4,0,36.4,26.0,L
Matthew Liberatore,Minnesota Twins,9.4,29.7,0,25.2,28.4,91.6,13.7,22.4,48.4,0,44.1,26.0,L
Jose Soriano,Tampa Bay Rays,9.0,25.1,0,19.9,31.9,88.5,8.0,33.2,44.1,0,37.0,27.0,R
Griffin Jax,Los Angeles Angels,10.0,23.6,0,21.8,32.1,88.1,11.1,30.4,46.1,0,38.2,27.0,R
Kyle Freeland,Colorado Rockies,9.7,30.1,0,28.5,33.8,90.8,14.8,22.5,49.9,0,44.1,26.0,L
Jeffrey Springs,Oakland Athletics,9.5,31.5,0,25.0,31.2,87.8,16.2,21.9,48.3,0,36.6,27.0,L
Trevor McDonald,Chicago Cubs,3.6,9.9,0,24.3,30.3,89.8,1.1,26.1,49.2,0,40.5,25.0,R
Ben Brown,San Francisco Giants,6.3,22.2,0,22.2,31.6,90.3,7.7,27.6,48.8,0,42.4,26.0,R
Jacob deGrom,Boston Red Sox,10.4,31.7,0,29.0,34.7,91.2,19.3,33.4,48.8,0,44.8,30.0,R
Ranger Suarez,Texas Rangers,6.7,22.9,0,31.3,31.7,87.5,15.3,23.8,44.5,0,33.0,25.0,L
Joey Cantillo,Detroit Tigers,9.4,33.0,0,18.3,28.3,88.1,12.8,26.8,47.4,0,37.7,26.0,L
Tarik Skubal,Cleveland Guardians,5.3,22.8,0,25.4,36.1,89.9,8.3,29.8,49.0,0,43.0,28.0,L
