Name,Team,Barrel%,HardHit%,FB%,LD%,Chase%,LA,AvgEV,ISO,SwStr%,ZoneContact%,xwOBA,PulledBrl%,BrlBIP%,SweetSpot%,Last14AVG,Last14HH%,Form,Bats,Oppo%
TJ Rumfield,Colorado Rockies,6.9,34.7,25.8,26.8,31.8,13.9,85.1,0.153,19.2,72.7,0.329,47.4,7.9,26.8,0,0,6,R,24.7
Edouard Julien,Colorado Rockies,7.4,50.0,21.3,28.7,20.4,8.7,91.1,0.160,25.6,63.9,0.341,36.1,10.2,37.0,0,0,6,L,22.2
Willi Castro,Colorado Rockies,5.1,43.4,32.4,23.5,38.1,18.4,88.4,0.124,29.9,73.8,0.288,44.1,9.6,27.9,0,0,6,S,24.3
Ezequiel Tovar,Colorado Rockies,8.5,36.0,30.5,26.8,45.0,15.6,88.0,0.169,30.1,81.7,0.302,37.8,5.5,24.4,0,0,6,R,22.6
Troy Johnston,Colorado Rockies,2.9,36.6,22.1,34.9,35.3,13.3,89.2,0.106,23.2,66.5,0.325,34.3,5.8,34.9,0,0,6,R,24.4
Shohei Ohtani,Los Angeles Dodgers,15.9,52.5,32.2,25.4,29.5,12.9,93.4,0.286,28.5,62.2,0.413,52.5,6.8,22.0,0,0,8,L,23.2
Freddie Freeman,Los Angeles Dodgers,11.8,46.3,28.6,24.6,26.9,11.7,91.0,0.218,22.7,74.4,0.375,32.5,8.4,20.2,0,0,7,L,29.6
Max Muncy,Los Angeles Dodgers,17.1,49.3,31.5,20.5,24.9,12.8,91.0,0.278,27.8,63.1,0.393,54.1,3.4,21.2,0,0,7,L,15.1
Will Smith,Los Angeles Dodgers,13.4,39.4,38.0,28.9,21.3,19.9,90.0,0.208,16.4,61.8,0.386,30.3,7.0,31.0,0,0,7,R,28.2
Andy Pages,Los Angeles Dodgers,10.1,46.6,28.4,26.4,34.5,16.5,89.7,0.205,23.3,66.8,0.352,35.6,9.6,27.4,0,0,7,R,27.4
Kyle Tucker,Los Angeles Dodgers,5.4,39.5,30.3,27.0,24.9,16.1,89.0,0.177,23.9,73.4,0.327,43.8,5.9,31.4,0,0,6,L,21.6
Mookie Betts,Los Angeles Dodgers,8.8,35.1,40.4,27.2,21.4,19.9,90.0,0.164,13.8,60.1,0.326,39.5,5.3,27.2,0,0,6,R,20.2
Bryan Reynolds,Pittsburgh Pirates,8.9,44.1,22.9,24.6,22.8,5.4,90.8,0.178,28.5,67.7,0.367,42.5,3.9,20.7,0,0,7,S,25.7
Brandon Lowe,Pittsburgh Pirates,12.1,44.5,32.9,23.1,32.6,16.9,90.0,0.235,34.1,67.7,0.359,44.5,9.2,23.1,0,0,6,S,18.5
Ryan O'Hearn,Pittsburgh Pirates,6.8,44.2,28.6,24.5,31.1,12.3,89.8,0.162,21.6,60.1,0.336,40.1,7.5,25.2,0,0,6,L,27.9
Marcell Ozuna,Pittsburgh Pirates,8.2,39.2,28.8,28.0,25.9,21.9,89.6,0.168,30.4,60.0,0.308,39.2,8.0,32.0,0,0,6,R,25.6
Spencer Horwitz,Pittsburgh Pirates,8.0,33.7,26.9,20.0,25.2,16.4,86.3,0.153,14.0,58.8,0.334,40.0,5.1,21.1,0,0,6,L,30.3
Nick Gonzales,Pittsburgh Pirates,3.2,38.5,18.2,24.6,30.8,6.4,85.6,0.135,23.2,77.3,0.335,43.3,6.4,17.1,0,0,6,R,28.3
Matt Olson,Atlanta Braves,14.6,53.5,35.0,22.5,27.5,19.0,93.8,0.283,24.7,65.5,0.378,35.0,12.5,28.0,0,0,8,L,25.5
Michael Harris II,Atlanta Braves,15.1,52.2,24.7,25.3,44.3,11.9,92.8,0.241,26.3,68.8,0.383,31.7,7.5,19.9,0,0,7,R,19.9
Austin Riley,Atlanta Braves,10.0,44.1,31.8,20.0,32.1,19.2,90.8,0.181,31.7,65.9,0.301,43.5,8.8,20.6,0,0,7,R,26.5
