Hitter,Pitcher,Game
Owen Caissie,Zack Wheeler,MIA vs PHI
Heriberto Hernandez,Zack Wheeler,MIA vs PHI
Kyle Stowers,Zack Wheeler,MIA vs PHI
Otto Lopez,Zack Wheeler,MIA vs PHI
Joe Mack,Zack Wheeler,MIA vs PHI
Connor Norby,Zack Wheeler,MIA vs PHI
Xavier Edwards,Zack Wheeler,MIA vs PHI
Kyle Schwarber,Ryan Gusto,MIA vs PHI
Bryce Harper,Ryan Gusto,MIA vs PHI
Alec Bohm,Ryan Gusto,MIA vs PHI
Brandon Marsh,Ryan Gusto,MIA vs PHI
JT Realmuto,Ryan Gusto,MIA vs PHI
Trea Turner,Ryan Gusto,MIA vs PHI
Edmundo Sosa,Ryan Gusto,MIA vs PHI
Jac Caglianone,Andrew Alvarez,KC vs WSH
Bobby Witt Jr,Andrew Alvarez,KC vs WSH
Michael Massey,Andrew Alvarez,KC vs WSH
Carter Jensen,Andrew Alvarez,KC vs WSH
Maikel Garcia,Andrew Alvarez,KC vs WSH
Salvador Perez,Andrew Alvarez,KC vs WSH
Isaac Collins,Andrew Alvarez,KC vs WSH
Lane Thomas,Andrew Alvarez,KC vs WSH
James Wood,Mitch Spence,KC vs WSH
Luis Garcia Jr,Mitch Spence,KC vs WSH
CJ Abrams,Mitch Spence,KC vs WSH
Daylen Lile,Mitch Spence,KC vs WSH
Curtis Mead,Mitch Spence,KC vs WSH
Jacob Young,Mitch Spence,KC vs WSH
Dylan Crews,Mitch Spence,KC vs WSH
Juan Soto,Chase Burns,NYM vs CIN
MJ Melendez,Chase Burns,NYM vs CIN
Bo Bichette,Chase Burns,NYM vs CIN
Carson Benge,Chase Burns,NYM vs CIN
Francisco Alvarez,Chase Burns,NYM vs CIN
AJ Ewing,Chase Burns,NYM vs CIN
Mark Vientos,Chase Burns,NYM vs CIN
Marcus Semien,Chase Burns,NYM vs CIN
JJ Bleday,Tobias Myers,NYM vs CIN
Sal Stewart,Tobias Myers,NYM vs CIN
Spencer Steer,Tobias Myers,NYM vs CIN
Tyler Stephenson,Tobias Myers,NYM vs CIN
Nathaniel Lowe,Tobias Myers,NYM vs CIN
Matt McLain,Tobias Myers,NYM vs CIN
Dane Myers,Tobias Myers,NYM vs CIN
Rodolfo Duran,Dustin May,SD vs STL
Fernando Tatis Jr,Dustin May,SD vs STL
Jackson Merrill,Dustin May,SD vs STL
Manny Machado,Dustin May,SD vs STL
Gavin Sheets,Dustin May,SD vs STL
Xander Bogaerts,Dustin May,SD vs STL
Ty France,Dustin May,SD vs STL
Jordan Walker,Griffin Canning,SD vs STL
Alec Burleson,Griffin Canning,SD vs STL
JJ Wetherholt,Griffin Canning,SD vs STL
Ivan Herrera,Griffin Canning,SD vs STL
Lars Nootbaar,Griffin Canning,SD vs STL
Masyn Winn,Griffin Canning,SD vs STL
Byron Buxton,MacKenzie Gore,MIN vs TEX
Kody Clemens,MacKenzie Gore,MIN vs TEX
Royce Lewis,MacKenzie Gore,MIN vs TEX
Josh Bell,MacKenzie Gore,MIN vs TEX
Victor Caratini,MacKenzie Gore,MIN vs TEX
Tristan Gray,MacKenzie Gore,MIN vs TEX
Corey Seager,Taj Bradley,MIN vs TEX
Brandon Nimmo,Taj Bradley,MIN vs TEX
Joc Pederson,Taj Bradley,MIN vs TEX
Josh Jung,Taj Bradley,MIN vs TEX
Jake Burger,Taj Bradley,MIN vs TEX
Kyle Higashioka,Taj Bradley,MIN vs TEX
Ezequiel Duran,Taj Bradley,MIN vs TEX
Riley Greene,Kai-Wei Teng,DET vs HOU
Kerry Carpenter,Kai-Wei Teng,DET vs HOU
Dillon Dingler,Kai-Wei Teng,DET vs HOU
Spencer Torkelson,Kai-Wei Teng,DET vs HOU
Kevin McGonigle,Kai-Wei Teng,DET vs HOU
Colt Keith,Kai-Wei Teng,DET vs HOU
Jahmai Jones,Kai-Wei Teng,DET vs HOU
Yordan Alvarez,Troy Melton,DET vs HOU
Christian Walker,Troy Melton,DET vs HOU
Cam Smith,Troy Melton,DET vs HOU
Isaac Paredes,Troy Melton,DET vs HOU
Jose Altuve,Troy Melton,DET vs HOU
Joey Loperfido,Troy Melton,DET vs HOU
Brice Matthews,Troy Melton,DET vs HOU
Junior Caminero,Walbert Urena,TB vs LAA
Jonathan Aranda,Walbert Urena,TB vs LAA
Yandy Diaz,Walbert Urena,TB vs LAA
Hunter Feduccia,Walbert Urena,TB vs LAA
Ryan Vilade,Walbert Urena,TB vs LAA
Ben Williamson,Walbert Urena,TB vs LAA
Cedric Mullins,Walbert Urena,TB vs LAA
Mike Trout,Nick Martinez,TB vs LAA
Jo Adell,Nick Martinez,TB vs LAA
Zach Neto,Nick Martinez,TB vs LAA
Oswald Peraza,Nick Martinez,TB vs LAA
Logan OHoppe,Nick Martinez,TB vs LAA
Donovan Walton,Nick Martinez,TB vs LAA
Corbin Carroll,Jared Jones,ARI vs PIT
Ketel Marte,Jared Jones,ARI vs PIT
Gabriel Moreno,Jared Jones,ARI vs PIT
Geraldo Perdomo,Jared Jones,ARI vs PIT
Ryan Waldschmidt,Jared Jones,ARI vs PIT
Tommy Troy,Jared Jones,ARI vs PIT
Bryan Reynolds,Ryne Nelson,ARI vs PIT
Brandon Lowe,Ryne Nelson,ARI vs PIT
Ryan OHearn,Ryne Nelson,ARI vs PIT
Henry Davis,Ryne Nelson,ARI vs PIT
Marcell Ozuna,Ryne Nelson,ARI vs PIT
Spencer Horwitz,Ryne Nelson,ARI vs PIT
Nick Gonzales,Ryne Nelson,ARI vs PIT
Nick Kurtz,Michael Lorenzen,ATH vs COL
Shea Langeliers,Michael Lorenzen,ATH vs COL
Carlos Cortes,Michael Lorenzen,ATH vs COL
Tyler Soderstrom,Michael Lorenzen,ATH vs COL
Zack Gelof,Michael Lorenzen,ATH vs COL
Lawrence Butler,Michael Lorenzen,ATH vs COL
Jacob Wilson,Michael Lorenzen,ATH vs COL
Hunter Goodman,JT Ginn,ATH vs COL
Edouard Julien,JT Ginn,ATH vs COL
Kyle Karros,JT Ginn,ATH vs COL
Troy Johnston,JT Ginn,ATH vs COL
Willi Castro,JT Ginn,ATH vs COL
TJ Rumfield,JT Ginn,ATH vs COL
Ian Happ,Ryan Rolison,CHC vs SF
Pete Crow-Armstrong,Ryan Rolison,CHC vs SF
Michael Busch,Ryan Rolison,CHC vs SF
Michael Conforto,Ryan Rolison,CHC vs SF
Seiya Suzuki,Ryan Rolison,CHC vs SF
Alex Bregman,Ryan Rolison,CHC vs SF
Dansby Swanson,Ryan Rolison,CHC vs SF
Shohei Ohtani,Eric Lauer,LAD vs CWS
Max Muncy,Eric Lauer,LAD vs CWS
Freddie Freeman,Eric Lauer,LAD vs CWS
Mookie Betts,Eric Lauer,LAD vs CWS
Andy Pages,Eric Lauer,LAD vs CWS
Kyle Tucker,Eric Lauer,LAD vs CWS
Dalton Rushing,Eric Lauer,LAD vs CWS
