Name,Team,BarrelAllowed%,FBAllowed%,HR9,LDAllowed%,ChaseAllowed%,EVAllowed,LAAllowed,SwStr%Induced,Zone%,Last14ERA,Last14HHAllowed%,CSW%
Nick Martinez,Tampa Bay Rays,6.8,27.8,0,25.6,32.1,86.7,14.9,18.1,52.0,0,0,0
Payton Tolle,Boston Red Sox,4.9,30.3,0,20.5,33.5,87.7,20.5,27.2,53.2,0,0,0
Robert Gasser,Oakland Athletics,7.5,30.0,0,32.5,26.7,85.8,24.2,26.5,47.8,0,0,0
J.T. Ginn,Milwaukee Brewers,6.4,24.0,0,21.1,29.3,87.9,9.3,27.0,44.8,0,0,0
