Name,Team,BarrelAllowed%,FBAllowed%,HR9,LDAllowed%,ChaseAllowed%,EVAllowed,LAAllowed,SwStr%Induced,Zone%,Last14ERA,Last14HHAllowed%,CSW%,Throws
Paul Skenes,Miami Marlins,5.2,20.6,0,25.3,32.6,87.2,13.1,27.0,46.7,0,34.5,20.0,R
Max Meyer,Pittsburgh Pirates,8.9,28.8,0,21.0,32.3,90.4,14.7,30.0,46.4,0,43.9,25.0,R
Trevor Rogers,San Diego Padres,7.5,24.4,0,27.4,33.8,89.6,19.4,21.5,48.6,0,39.8,25.0,L
Walker Buehler,Baltimore Orioles,8.0,19.1,0,29.3,26.9,90.5,9.7,19.0,48.3,0,41.0,25.0,R
Emerson Hancock,Seattle Mariners,10.7,29.8,0,21.2,26.1,90.4,13.4,23.5,51.7,0,44.9,25.0,R
Miles Mikolas,Washington Nationals,10.8,28.4,0,19.2,27.3,89.5,11.9,16.6,51.9,0,43.3,25.0,R
Patrick Corbin,New York Yankees,8.1,23.5,0,28.3,30.3,89.0,14.3,20.4,43.4,0,43.9,25.0,L
Will Warren,Toronto Blue Jays,6.8,27.6,0,21.9,27.9,90.2,12.8,23.3,47.8,0,39.6,25.0,R
Andrew Abbott,Arizona Diamondbacks,7.1,26.0,0,24.3,28.2,89.8,17.3,21.5,48.2,0,39.1,25.0,L
Zac Gallen,Cincinnati Reds,9.5,27.2,0,23.0,31.7,90.9,11.2,19.6,44.5,0,45.7,25.0,R
Gavin Williams,Detroit Tigers,12.9,23.1,0,23.1,33.9,91.1,9.7,30.5,48.7,0,48.6,25.0,R
Casey Mize,Cleveland Guardians,7.3,30.9,0,22.8,30.4,86.8,17.5,28.5,48.6,0,33.3,25.0,R
Freddy Peralta,Atlanta Braves,5.9,25.7,0,23.0,30.0,88.3,13.7,28.1,43.2,0,40.5,25.0,R
Bryce Elder,New York Mets,3.7,26.6,0,20.9,29.9,89.4,12.8,23.0,46.7,0,38.9,25.0,R
Stephen Kolek,Houston Astros,6.9,22.7,0,23.5,26.1,88.9,11.4,20.7,50.9,0,37.1,25.0,R
Spencer Arrighetti,Kansas City Royals,6.0,30.2,0,22.8,26.9,87.2,16.6,25.6,45.6,0,29.5,25.0,R
Taj Bradley,St Louis Cardinals,10.6,28.3,0,30.0,28.6,91.9,16.4,27.1,46.8,0,47.2,25.0,R
Michael McGreevy,Minnesota Twins,10.1,26.0,0,24.2,28.5,89.2,10.6,19.9,45.5,0,40.6,25.0,R
Emmet Sheehan,Los Angeles Dodgers,9.7,29.1,0,23.6,36.1,88.5,18.6,29.9,45.3,0,37.6,25.0,R
Erick Fedde,Chicago White Sox,9.2,30.0,0,23.7,23.9,88.8,17.1,16.3,46.0,0,39.6,25.0,R
Kyle Harrison,Philadelphia Phillies,7.4,27.7,0,29.1,33.3,89.5,15.4,29.5,50.7,0,32.4,25.0,L
Cristopher Sanchez,Milwaukee Brewers,8.6,17.3,0,20.6,38.3,89.1,1.4,33.0,47.8,0,43.2,25.0,L
Jeffrey Springs,Colorado Rockies,9.5,31.5,0,25.0,31.2,87.8,16.2,21.9,48.3,0,36.6,25.0,L
Tomoyuki Sugano,Oakland Athletics,15.5,31.4,0,27.0,25.1,91.1,14.6,16.7,48.9,0,46.5,25.0,R
Logan Webb,Chicago Cubs,6.2,14.8,0,25.5,33.0,90.6,2.0,21.0,45.5,0,46.4,25.0,R
Ryan Rolison,San Francisco Giants,6.7,25.0,0,18.3,24.0,90.2,8.8,20.7,47.6,0,46.7,25.0,L
Grayson Rodriguez,Tampa Bay Rays,10.7,29.3,0,30.7,20.9,91.9,17.1,22.0,53.9,0,52.0,25.0,R
Casey Legumina,Los Angeles Angels,8.0,29.7,0,26.4,31.0,87.6,11.9,22.7,51.0,0,39.1,25.0,R
Connelly Early,Texas Rangers,11.6,32.3,0,22.2,32.5,90.7,13.6,23.1,46.3,0,42.9,25.0,R
Nathan Eovaldi,Boston Red Sox,9.8,26.1,0,18.8,36.1,89.1,10.5,30.0,47.9,0,41.5,25.0,R
