Hitter,Pitcher,Game
Kyle Manzardo,Tanner Bibee,DET vs CLE - 1:10 PM
Chase DeLauter,Tanner Bibee,DET vs CLE - 1:10 PM
Rhys Hoskins,Tanner Bibee,DET vs CLE - 1:10 PM
Travis Bazzana,Tanner Bibee,DET vs CLE - 1:10 PM
Corey Seager,Sonny Gray,TEX vs BOS - 7:10 PM
Brandon Nimmo,Sonny Gray,TEX vs BOS - 7:10 PM
Jake Burger,Sonny Gray,TEX vs BOS - 7:10 PM
Joc Pederson,Sonny Gray,TEX vs BOS - 7:10 PM
Josh Jung,Sonny Gray,TEX vs BOS - 7:10 PM
Willson Contreras,Jack Leiter,TEX vs BOS - 7:10 PM
Wilyer Abreu,Jack Leiter,TEX vs BOS - 7:10 PM
Jarren Duran,Jack Leiter,TEX vs BOS - 7:10 PM
Masataka Yoshida,Jack Leiter,TEX vs BOS - 7:10 PM
Corbin Carroll,Nick Lodolo,ARI vs CIN - 4:10 PM
Ketel Marte,Nick Lodolo,ARI vs CIN - 4:10 PM
Gabriel Moreno,Nick Lodolo,ARI vs CIN - 4:10 PM
Nolan Arenado,Nick Lodolo,ARI vs CIN - 4:10 PM
Ryan Waldschmidt,Nick Lodolo,ARI vs CIN - 4:10 PM
JJ Bleday,Eduardo Rodriguez,ARI vs CIN - 4:10 PM
Spencer Steer,Eduardo Rodriguez,ARI vs CIN - 4:10 PM
Sal Stewart,Eduardo Rodriguez,ARI vs CIN - 4:10 PM
Nathaniel Lowe,Eduardo Rodriguez,ARI vs CIN - 4:10 PM
Tyler Stephenson,Eduardo Rodriguez,ARI vs CIN - 4:10 PM
Matt Olson,Nolan McLean,ATL vs NYM - 7:15 PM
Austin Riley,Nolan McLean,ATL vs NYM - 7:15 PM
Michael Harris II,Nolan McLean,ATL vs NYM - 7:15 PM
Ozzie Albies,Nolan McLean,ATL vs NYM - 7:15 PM
Rowdy Tellez,Nolan McLean,ATL vs NYM - 7:15 PM
Juan Soto,Spencer Strider,ATL vs NYM - 7:15 PM
Jared Young,Spencer Strider,ATL vs NYM - 7:15 PM
Bo Bichette,Spencer Strider,ATL vs NYM - 7:15 PM
Francisco Alvarez,Spencer Strider,ATL vs NYM - 7:15 PM
Carson Benge,Spencer Strider,ATL vs NYM - 7:15 PM
Vladimir Guerrero Jr,Ryan Weathers,NYY vs TOR - 7:07 PM
Brandon Valenzuela,Ryan Weathers,NYY vs TOR - 7:07 PM
Kazuma Okamoto,Ryan Weathers,NYY vs TOR - 7:07 PM
Jesus Sanchez,Ryan Weathers,NYY vs TOR - 7:07 PM
Ernie Clement,Ryan Weathers,NYY vs TOR - 7:07 PM
Shohei Ohtani,Anthony Kay,LAD vs CWS - 9:40 PM
Mookie Betts,Anthony Kay,LAD vs CWS - 9:40 PM
Freddie Freeman,Anthony Kay,LAD vs CWS - 9:40 PM
Alex Call,Anthony Kay,LAD vs CWS - 9:40 PM
Kyle Tucker,Anthony Kay,LAD vs CWS - 9:40 PM
Miguel Vargas,Roki Sasaki,LAD vs CWS - 9:40 PM
Colson Montgomery,Roki Sasaki,LAD vs CWS - 9:40 PM
Jacob Gonzalez,Roki Sasaki,LAD vs CWS - 9:40 PM
Sam Antonacci,Roki Sasaki,LAD vs CWS - 9:40 PM
Yordan Alvarez,Luinder Avila,HOU vs KC - 8:10 PM
Jose Altuve,Luinder Avila,HOU vs KC - 8:10 PM
Cam Smith,Luinder Avila,HOU vs KC - 8:10 PM
Christian Walker,Luinder Avila,HOU vs KC - 8:10 PM
Bobby Witt Jr,Tatsuya Imai,HOU vs KC - 8:10 PM
Jac Caglianone,Tatsuya Imai,HOU vs KC - 8:10 PM
Salvador Perez,Tatsuya Imai,HOU vs KC - 8:10 PM
Vinnie Pasquantino,Tatsuya Imai,HOU vs KC - 8:10 PM
Alec Burleson,Joe Ryan,STL vs MIN - 7:40 PM
JJ Wetherholt,Joe Ryan,STL vs MIN - 7:40 PM
Jordan Walker,Joe Ryan,STL vs MIN - 7:40 PM
Ivan Herrera,Joe Ryan,STL vs MIN - 7:40 PM
Nolan Gorman,Joe Ryan,STL vs MIN - 7:40 PM
Byron Buxton,Kyle Leahy,STL vs MIN - 7:40 PM
Royce Lewis,Kyle Leahy,STL vs MIN - 7:40 PM
Brooks Lee,Kyle Leahy,STL vs MIN - 7:40 PM
Kody Clemens,Kyle Leahy,STL vs MIN - 7:40 PM
Josh Bell,Kyle Leahy,STL vs MIN - 7:40 PM
Junior Caminero,Shane McClanahan,TB vs LAA - 6:40 PM
Yandy Diaz,Shane McClanahan,TB vs LAA - 6:40 PM
Jonathan Aranda,Shane McClanahan,TB vs LAA - 6:40 PM
Zach Neto,Sam Aldegheri,TB vs LAA - 6:40 PM
Mike Trout,Sam Aldegheri,TB vs LAA - 6:40 PM
Logan O'Hoppe,Sam Aldegheri,TB vs LAA - 6:40 PM
Jo Adell,Sam Aldegheri,TB vs LAA - 6:40 PM
Hunter Goodman,Gage Jump,COL vs OAK - 9:40 PM
Edouard Julien,Gage Jump,COL vs OAK - 9:40 PM
Ezequiel Tovar,Gage Jump,COL vs OAK - 9:40 PM
TJ Rumfield,Gage Jump,COL vs OAK - 9:40 PM
Sterlin Thompson,Gage Jump,COL vs OAK - 9:40 PM
Nick Kurtz,Kyle Leahy,COL vs OAK - 9:40 PM
Shea Langeliers,Kyle Leahy,COL vs OAK - 9:40 PM
Brent Rooker,Kyle Leahy,COL vs OAK - 9:40 PM
Tyler Soderstrom,Kyle Leahy,COL vs OAK - 9:40 PM
Carlos Cortes,Kyle Leahy,COL vs OAK - 9:40 PM
Pete Crow-Armstrong,Landen Roupp,CHC vs SF - 9:45 PM
Ian Happ,Landen Roupp,CHC vs SF - 9:45 PM
Seiya Suzuki,Landen Roupp,CHC vs SF - 9:45 PM
Moises Ballesteros,Landen Roupp,CHC vs SF - 9:45 PM
Michael Busch,Landen Roupp,CHC vs SF - 9:45 PM
Bryce Eldridge,Javier Assad,CHC vs SF - 9:45 PM
Rafael Devers,Javier Assad,CHC vs SF - 9:45 PM
Casey Schmitt,Javier Assad,CHC vs SF - 9:45 PM
Willy Adames,Javier Assad,CHC vs SF - 9:45 PM
Matt Chapman,Javier Assad,CHC vs SF - 9:45 PM

Kyle Schwarber,Jacob Misiorowski,PHI vs MIL - 6:40 PM
Bryce Harper,Jacob Misiorowski,PHI vs MIL - 6:40 PM
Brandon Marsh,Jacob Misiorowski,PHI vs MIL - 6:40 PM
Adolis Garcia,Jacob Misiorowski,PHI vs MIL - 6:40 PM
Alec Bohm,Jacob Misiorowski,PHI vs MIL - 6:40 PM
Bryson Stott,Jacob Misiorowski,PHI vs MIL - 6:40 PM
Jackson Chourio,Andrew Painter,PHI vs MIL - 6:40 PM
Jake Bauers,Andrew Painter,PHI vs MIL - 6:40 PM
Garrett Mitchell,Andrew Painter,PHI vs MIL - 6:40 PM
Brice Turang,Andrew Painter,PHI vs MIL - 6:40 PM
William Contreras,Andrew Painter,PHI vs MIL - 6:40 PM
