Hitter,Pitcher,Game
Owen Caissie,Braxton Ashcraft,MIA vs PIT - 12:35 PM
Kyle Stowers,Braxton Ashcraft,MIA vs PIT - 12:35 PM
Otto Lopez,Braxton Ashcraft,MIA vs PIT - 12:35 PM
Heriberto Hernandez,Braxton Ashcraft,MIA vs PIT - 12:35 PM
Connor Norby,Braxton Ashcraft,MIA vs PIT - 12:35 PM
Xavier Edwards,Braxton Ashcraft,MIA vs PIT - 12:35 PM
Liam Hicks,Braxton Ashcraft,MIA vs PIT - 12:35 PM
Jakob Marsee,Braxton Ashcraft,MIA vs PIT - 12:35 PM
Spencer Horwitz,Sandy Alcantara,MIA vs PIT - 12:35 PM
Bryan Reynolds,Sandy Alcantara,MIA vs PIT - 12:35 PM
Brandon Lowe,Sandy Alcantara,MIA vs PIT - 12:35 PM
Ryan O'Hearn,Sandy Alcantara,MIA vs PIT - 12:35 PM
Marcell Ozuna,Sandy Alcantara,MIA vs PIT - 12:35 PM
Esmerlyn Valdez,Sandy Alcantara,MIA vs PIT - 12:35 PM
Dominic Canzone,Zack Littell,SEA vs WSH - 4:05 PM
Julio Rodriguez,Zack Littell,SEA vs WSH - 4:05 PM
Luke Raley,Zack Littell,SEA vs WSH - 4:05 PM
Randy Arozarena,Zack Littell,SEA vs WSH - 4:05 PM
Colt Emerson,Zack Littell,SEA vs WSH - 4:05 PM
Josh Naylor,Zack Littell,SEA vs WSH - 4:05 PM
Cole Young,Zack Littell,SEA vs WSH - 4:05 PM
James Wood,Bryce Miller,SEA vs WSH - 4:05 PM
CJ Abrams,Bryce Miller,SEA vs WSH - 4:05 PM
Curtis Mead,Bryce Miller,SEA vs WSH - 4:05 PM
Daylen Lile,Bryce Miller,SEA vs WSH - 4:05 PM
Luis Garcia Jr,Bryce Miller,SEA vs WSH - 4:05 PM
Jacob Young,Bryce Miller,SEA vs WSH - 4:05 PM
Fernando Tatis Jr,Griffin Canning,SD vs BAL - 7:05 PM
Jackson Merrill,Griffin Canning,SD vs BAL - 7:05 PM
Manny Machado,Griffin Canning,SD vs BAL - 7:05 PM
Gavin Sheets,Griffin Canning,SD vs BAL - 7:05 PM
Ty France,Griffin Canning,SD vs BAL - 7:05 PM
Pete Alonso,Shane Baz,SD vs BAL - 7:05 PM
Samuel Basallo,Shane Baz,SD vs BAL - 7:05 PM
Gunnar Henderson,Shane Baz,SD vs BAL - 7:05 PM
Adley Rutschman,Shane Baz,SD vs BAL - 7:05 PM
Coby Mayo,Shane Baz,SD vs BAL - 7:05 PM
Colton Cowser,Shane Baz,SD vs BAL - 7:05 PM
Riley Greene,Jack Flaherty,DET vs CLE - 1:10 PM
Kerry Carpenter,Jack Flaherty,DET vs CLE - 1:10 PM
Dillon Dingler,Jack Flaherty,DET vs CLE - 1:10 PM
Spencer Torkelson,Jack Flaherty,DET vs CLE - 1:10 PM
Colt Keith,Jack Flaherty,DET vs CLE - 1:10 PM
Jose Ramirez,Tanner Bibee,DET vs CLE - 1:10 PM
