Name,Pitcher,Barrel%,HardHit%,FB%,LD%,Chase%,LA,AvgEV,ISO,SwStr%,ZoneContact%,xwOBA,PulledBrl%,BrlBIP%,SweetSpot%,Last14AVG,Last14HH%,Form,Bats,Oppo%,BBE
Heriberto Hernandez,Zack Wheeler,9.3,49.5,28.9,22.7,26.3,12.9,91.8,0.224,33.3,69.9,0.359,48.5,9.3,25.8,0,0,6,R,16.5,97
Owen Caissie,Zack Wheeler,13.3,45.9,29.6,25.5,29.7,15.7,91.7,0.181,35.6,66.2,0.288,29.6,13.3,22.4,0,0,6,R,19.4,98
Kyle Stowers,Zack Wheeler,8.2,50.0,27.0,21.3,34.4,14.5,90.4,0.165,34.5,74.7,0.310,46.7,8.2,26.2,0,0,6,L,18.9,122
Otto Lopez,Zack Wheeler,7.1,45.6,21.2,20.7,35.9,6.2,90.3,0.154,20.9,62.0,0.337,32.0,7.1,27.4,0,0,6,R,28.2,241
Joe Mack,Zack Wheeler,7.4,38.2,20.6,22.1,26.3,12.5,89.3,0.142,24.0,69.6,0.287,50.0,7.4,29.4,0,0,6,L,20.6,68
Xavier Edwards,Zack Wheeler,5.6,32.0,22.1,27.7,23.1,11.2,87.2,0.133,14.6,60.6,0.340,33.8,5.6,28.1,0,0,6,B,29.0,231
Connor Norby,Zack Wheeler,8.2,36.9,36.9,15.6,27.2,19.4,87.1,0.150,32.1,73.6,0.290,38.5,8.2,18.9,0,0,6,R,22.1,122
Kyle Schwarber,Ryan Gusto,20.8,50.3,36.1,26.5,25.3,22.0,92.9,0.286,33.8,65.9,0.379,55.5,20.8,23.2,0,0,6,L,18.7,155
Trea Turner,Ryan Gusto,5.0,38.1,28.4,19.7,35.9,9.9,88.8,0.113,27.8,69.6,0.277,31.2,5.0,25.7,0,0,6,R,30.7,218
Bryce Harper,Ryan Gusto,12.9,45.4,26.8,26.8,33.7,12.4,90.3,0.263,30.6,74.2,0.406,37.6,12.9,27.8,0,0,6,L,19.6,194
Brandon Marsh,Ryan Gusto,7.3,46.9,25.1,29.1,37.7,12.8,90.1,0.153,24.1,70.6,0.332,34.6,7.3,31.3,0,0,6,L,28.5,179
Bryson Stott,Ryan Gusto,7.1,41.3,28.8,22.3,32.6,15.7,89.7,0.146,17.1,54.5,0.311,39.1,7.1,23.9,0,0,6,L,20.7,184
JT Realmuto,Ryan Gusto,4.8,38.7,29.0,24.2,31.8,10.7,88.8,0.134,23.8,63.2,0.320,41.9,4.8,23.4,0,0,6,R,25.8,124
Edmundo Sosa,Ryan Gusto,7.5,38.8,15.0,25.0,53.3,9.3,86.8,0.167,25.7,70.5,0.329,40.0,7.5,28.7,0,0,6,R,18.8,80
Bobby Witt Jr,Andrew Alvarez,12.3,52.6,26.7,28.9,33.1,16.8,93.2,0.228,23.9,66.2,0.386,28.0,12.3,26.7,0,0,6,R,28.9,232
Jac Caglianone,Andrew Alvarez,15.1,56.8,24.7,32.9,33.3,8.5,93.6,0.211,31.7,68.6,0.357,39.7,15.1,22.6,0,0,6,L,19.2,146
