Name,Pitcher,Barrel%,HardHit%,FB%,LD%,Chase%,LA,AvgEV,ISO,SwStr%,ZoneContact%,xwOBA,PulledBrl%,BrlBIP%,SweetSpot%,Last14AVG,Last14HH%,Form,Bats,Oppo%,BBE
Maikel Garcia,Andrew Alvarez,5.2,41.3,20.7,27.7,22.3,8.8,90.1,0.105,14.5,55.3,0.323,35.2,5.2,30.5,0,0,6,R,23.0,213
Starling Marte,Andrew Alvarez,14.3,40.8,20.4,28.6,30.5,6.8,91.4,0.167,30.1,66.5,0.320,34.7,14.3,22.4,0,0,6,R,18.4,49
Salvador Perez,Andrew Alvarez,8.2,40.1,29.5,24.2,46.2,16.7,88.4,0.161,25.6,73.5,0.287,40.1,8.2,21.3,0,0,6,R,30.4,207
Carter Jensen,Andrew Alvarez,9.3,42.1,34.9,20.4,26.9,20.0,90.5,0.142,31.1,65.2,0.273,39.5,9.3,20.4,0,0,6,R,27.6,152
Isaac Collins,Andrew Alvarez,7.2,39.1,26.8,25.4,19.0,18.5,88.5,0.088,25.6,58.5,0.306,43.5,7.2,24.6,0,0,6,L,24.6,138
Lane Thomas,Andrew Alvarez,4.0,35.0,35.0,23.0,21.7,24.6,86.9,0.107,21.1,62.5,0.312,42.0,4.0,24.0,0,0,6,R,20.0,100
James Wood,Mitch Spence,25.0,58.5,30.7,30.1,22.1,10.4,95.7,0.350,32.0,55.9,0.438,27.8,25.0,19.9,0,0,6,L,35.8,176
Luis Garcia Jr,Mitch Spence,8.2,47.6,19.5,25.4,42.2,10.4,92.3,0.171,18.5,70.4,0.328,41.1,8.2,25.4,0,0,6,R,21.6,185
Curtis Mead,Mitch Spence,11.0,43.1,33.6,21.9,24.7,15.7,88.9,0.206,15.8,58.6,0.366,46.7,11.0,24.8,0,0,6,R,21.9,137
CJ Abrams,Mitch Spence,10.5,42.3,27.4,25.9,35.3,16.9,90.1,0.192,28.6,68.4,0.357,44.3,10.5,27.4,0,0,6,L,24.4,201
Dylan Crews,Mitch Spence,9.1,45.5,27.3,22.7,36.7,11.6,91.4,0.201,24.2,72.1,0.335,34.8,9.1,18.2,0,0,6,R,19.7,66
Daylen Lile,Mitch Spence,7.8,36.4,35.3,22.4,35.9,17.3,87.8,0.163,23.1,75.4,0.326,41.8,7.8,26.3,0,0,6,L,30.2,232
Jacob Young,Mitch Spence,6.9,37.1,26.9,28.0,26.6,12.0,89.3,0.140,19.7,58.8,0.310,34.9,6.9,25.7,0,0,6,R,28.6,175
Keibert Ruiz,Mitch Spence,6.4,40.0,34.4,17.6,36.7,17.8,89.6,0.145,13.9,62.4,0.267,62.4,6.4,20.8,0,0,6,B,13.6,125
Juan Soto,Chase Burns,16.1,49.7,35.5,17.8,21.1,15.3,93.0,0.324,20.2,60.3,0.423,37.9,16.1,20.1,0,0,6,L,18.3,169
MJ Melendez,Chase Burns,10.9,56.3,42.2,20.3,28.9,24.5,94.1,0.148,34.7,66.2,0.279,50.0,10.9,18.8,0,0,6,L,17.2,64
Bo Bichette,Chase Burns,7.7,46.4,26.4,23.4,39.6,7.8,90.9,0.151,17.2,69.1,0.329,24.3,7.7,29.8,0,0,6,R,37.9,235
Francisco Alvarez,Chase Burns,16.1,41.9,26.9,19.4,32.7,9.8,90.2,0.205,29.5,61.5,0.325,46.2,16.1,19.4,0,0,6,R,14.0,93
Carson Benge,Chase Burns,9.1,43.5,24.7,28.5,26.8,10.7,90.0,0.173,21.9,62.9,0.350,29.6,9.1,28.5,0,0,6,R,28.5,186
Mark Vientos,Chase Burns,9.9,44.7,30.3,16.4,37.1,14.2,89.3,0.208,30.6,75.9,0.310,38.2,9.9,19.1,0,0,6,R,21.7,152
Brett Baty,Chase Burns,7.4,38.9,24.2,25.5,26.9,9.0,89.2,0.135,27.7,65.5,0.297,36.2,7.4,22.8,0,0,6,L,28.2,149
Marcus Semien,Chase Burns,9.0,35.8,30.3,25.9,29.3,18.5,86.4,0.172,22.8,71.8,0.323,47.8,9.0,27.4,0,0,6,R,15.9,201
JJ Bleday,Tobias Myers,12.1,46.4,31.0,30.2,25.2,21.5,90.0,0.239,25.4,69.1,0.384,50.0,12.1,23.0,0,0,6,L,17.5,126
Sal Stewart,Tobias Myers,14.9,41.1,27.2,20.8,27.2,14.2,90.7,0.220,27.2,69.8,0.361,30.7,14.9,22.8,0,0,6,R,31.2,202
Spencer Steer,Tobias Myers,13.1,39.2,31.5,21.0,24.6,16.5,89.5,0.221,24.8,65.8,0.363,49.7,13.1,21.5,0,0,6,R,19.9,181
Tyler Stephenson,Tobias Myers,11.1,43.3,35.0,25.8,21.3,21.8,90.5,0.188,25.7,66.9,0.321,31.7,11.1,24.2,0,0,6,R,29.2,120
Matt McLain,Tobias Myers,10.2,38.7,35.1,20.2,24.0,20.4,88.6,0.178,26.4,61.9,0.331,32.7,10.2,24.4,0,0,6,R,25.6,168
Eugenio Suarez,Tobias Myers,7.9,27.6,23.8,25.7,31.0,19.0,86.5,0.130,33.5,63.8,0.275,45.7,7.9,25.7,0,0,6,R,21.0,105
Fernando Tatis Jr,Dustin May,10.5,52.2,18.7,27.3,28.1,3.8,91.0,0.130,29.0,70.4,0.350,27.8,10.5,27.5,0,0,6,R,28.7,209
Jackson Merrill,Dustin May,10.0,46.6,27.7,26.7,34.1,14.5,90.0,0.188,27.8,79.6,0.316,35.6,10.0,22.5,0,0,6,L,30.4,191
Manny Machado,Dustin May,8.8,42.0,23.8,23.8,30.9,10.7,89.8,0.168,25.1,68.4,0.305,43.5,8.8,20.7,0,0,6,R,23.3,193
Gavin Sheets,Dustin May,8.7,45.3,25.3,24.0,32.5,16.6,89.2,0.175,21.6,56.3,0.328,40.0,8.7,26.7,0,0,6,L,28.0,150
Rodolfo Duran,Dustin May,20.0,40.0,36.0,12.0,21.1,11.3,89.1,0.271,25.0,62.5,0.386,44.0,20.0,8.0,0,0,6,R,16.0,25
Xander Bogaerts,Dustin May,7.0,37.4,25.1,18.7,26.3,7.6,88.0,0.145,22.5,61.6,0.323,50.3,7.0,23.5,0,0,6,R,18.7,187
JJ Wetherholt,Griffin Canning,7.9,47.1,32.4,23.0,23.0,16.1,90.6,0.190,21.6,65.9,0.356,41.7,7.9,24.5,0,0,6,R,22.5,204
Ivan Herrera,Griffin Canning,7.3,42.5,19.3,21.3,27.1,6.3,89.8,0.158,19.8,62.2,0.371,39.6,7.3,25.6,0,0,6,R,22.2,207
Alec Burleson,Griffin Canning,11.7,47.5,29.6,20.2,33.9,12.4,91.5,0.264,21.3,66.0,0.388,46.2,11.7,26.5,0,0,6,L,24.2,223
Jordan Walker,Griffin Canning,13.8,52.3,27.2,26.2,35.6,13.5,94.5,0.239,31.5,71.5,0.372,39.0,13.8,27.2,0,0,6,R,23.6,195
Lars Nootbaar,Griffin Canning,17.4,60.9,34.8,30.4,13.9,11.3,95.1,0.317,14.9,46.8,0.416,39.1,17.4,13.0,0,0,6,L,26.1,23
Masyn Winn,Griffin Canning,3.4,33.5,15.6,26.8,23.9,12.5,87.0,0.071,23.5,59.9,0.299,30.7,3.4,30.2,0,0,6,R,25.1,179
Byron Buxton,MacKenzie Gore,19.0,48.6,36.3,21.2,35.6,21.7,90.8,0.269,31.3,73.9,0.349,47.5,19.0,17.3,0,0,6,R,21.2,179
Kody Clemens,MacKenzie Gore,13.3,44.0,31.4,22.0,30.5,16.3,92.6,0.197,24.7,68.1,0.337,40.9,13.3,23.3,0,0,6,L,27.0,159
Josh Bell,MacKenzie Gore,10.0,41.6,24.2,26.8,31.8,12.7,89.5,0.171,25.6,74.8,0.304,45.8,10.0,22.1,0,0,6,L,22.6,190
Victor Caratini,MacKenzie Gore,6.8,39.4,22.0,27.3,26.0,11.6,89.1,0.157,21.2,59.4,0.339,37.1,6.8,28.8,0,0,6,B,23.5,132
Royce Lewis,MacKenzie Gore,12.8,42.6,27.7,23.4,31.4,15.6,88.8,0.157,34.5,67.0,0.307,50.0,12.8,23.4,0,0,6,R,16.0,94
Brooks Lee,MacKenzie Gore,4.8,30.4,27.5,25.1,34.1,13.4,87.7,0.113,21.3,70.8,0.277,40.1,4.8,24.6,0,0,6,R,26.6,207
Corey Seager,Taj Bradley,15.2,44.8,29.6,21.6,29.0,11.9,91.2,0.226,34.7,80.6,0.336,45.6,15.2,20.0,0,0,6,L,23.2,125
Brandon Nimmo,Taj Bradley,10.7,51.9,30.1,27.2,27.9,11.3,92.0,0.231,22.8,69.4,0.371,28.2,10.7,24.3,0,0,6,L,24.3,206
Joc Pederson,Taj Bradley,9.5,47.4,27.0,27.0,26.5,15.0,91.6,0.164,29.5,61.9,0.348,38.7,9.5,25.5,0,0,6,L,27.0,137
Jake Burger,Taj Bradley,9.8,47.3,25.5,21.7,37.4,11.7,90.1,0.166,34.8,65.3,0.310,45.1,9.8,19.0,0,0,6,R,18.5,184
Josh Jung,Taj Bradley,5.2,45.5,20.9,31.3,30.9,11.7,89.6,0.147,18.7,65.8,0.353,42.2,5.2,32.7,0,0,6,R,23.7,211
Kyle Higashioka,Taj Bradley,11.0,37.8,26.8,28.0,28.6,15.5,88.0,0.152,29.2,56.7,0.309,42.7,11.0,25.6,0,0,6,R,19.5,82
Ezequiel Duran,Taj Bradley,5.9,37.7,20.1,25.3,36.3,10.5,89.8,0.109,29.5,64.7,0.305,37.0,5.9,25.3,0,0,6,R,24.7,154
Riley Greene,Kai-Wei Teng,13.2,50.6,30.5,25.9,25.9,16.4,91.4,0.200,30.4,67.9,0.359,36.8,13.2,27.0,0,0,6,L,24.1,174
Kerry Carpenter,Kai-Wei Teng,11.5,46.1,38.2,22.5,36.8,22.0,91.0,0.188,30.9,68.4,0.311,47.2,11.5,24.7,0,0,6,L,21.3,89
Dillon Dingler,Kai-Wei Teng,13.3,51.6,32.4,26.4,33.3,17.4,90.9,0.268,21.2,64.2,0.396,42.3,13.3,25.3,0,0,6,R,21.4,182
Spencer Torkelson,Kai-Wei Teng,13.8,45.2,38.4,27.4,22.3,20.0,90.5,0.193,30.9,64.0,0.313,47.9,13.8,21.2,0,0,6,R,21.2,146
Kevin McGonigle,Kai-Wei Teng,8.4,36.7,35.2,24.1,18.6,21.8,87.9,0.178,14.4,67.1,0.363,38.9,8.4,23.1,0,0,6,R,24.5,216
Colt Keith,Kai-Wei Teng,6.7,41.3,25.3,24.7,23.5,13.4,88.6,0.136,22.3,62.2,0.306,38.7,6.7,28.7,0,0,6,L,20.0,150
Jahmai Jones,Kai-Wei Teng,9.3,44.4,31.5,24.1,28.2,14.8,91.3,0.165,29.8,72.1,0.312,50.0,9.3,27.8,0,0,6,R,11.1,54
Yordan Alvarez,Troy Melton,18.4,52.6,37.8,29.2,26.9,19.0,94.4,0.386,19.4,62.0,0.489,42.6,18.4,22.5,0,0,6,L,23.4,209
Christian Walker,Troy Melton,11.5,45.7,28.8,19.7,29.9,14.3,90.5,0.184,30.1,72.9,0.316,42.8,11.5,16.3,0,0,6,R,24.5,208
Cam Smith,Troy Melton,13.3,46.1,26.3,22.8,28.9,10.9,89.7,0.187,31.6,66.0,0.337,31.7,13.3,22.2,0,0,6,R,28.1,167
Isaac Paredes,Troy Melton,6.8,31.3,30.7,27.6,27.0,24.2,87.1,0.134,16.4,61.9,0.323,54.7,6.8,29.2,0,0,6,R,20.8,192
Jose Altuve,Troy Melton,6.3,35.2,17.9,26.2,33.1,8.2,86.0,0.115,26.1,62.5,0.301,44.1,6.3,26.9,0,0,6,R,9.7,145
Joey Loperfido,Troy Melton,4.2,35.4,18.8,16.7,28.0,9.2,89.7,0.063,34.2,66.3,0.277,27.1,4.2,31.3,0,0,6,L,22.9,48
Brice Matthews,Troy Melton,10.1,40.0,24.5,20.0,25.3,11.2,88.4,0.180,36.5,66.2,0.281,36.4,10.1,20.9,0,0,6,R,18.2,110
Hunter Goodman,Shota Imanaga,16.0,46.8,33.5,27.2,41.6,18.0,91.1,0.224,34.5,72.5,0.326,51.9,16.0,21.5,0,0,6,R,17.7,158
Willi Castro,Shota Imanaga,5.3,42.1,32.9,22.4,36.9,18.0,88.3,0.129,29.4,73.3,0.296,45.4,5.3,25.0,0,0,6,B,23.7,152
TJ Rumfield,Shota Imanaga,6.4,33.7,27.3,26.3,31.1,14.9,85.2,0.148,18.9,72.7,0.327,47.8,6.4,23.1,0,0,6,R,24.4,205
Ezequiel Tovar,Shota Imanaga,8.3,36.7,31.4,26.6,45.3,15.9,88.1,0.166,30.2,81.6,0.296,37.3,8.3,24.3,0,0,6,R,21.9,169
Kyle Karros,Shota Imanaga,7.1,42.6,21.3,30.3,23.5,12.0,89.2,0.130,24.3,64.5,0.337,38.7,7.1,27.7,0,0,6,R,24.5,155
Troy Johnston,Shota Imanaga,2.7,37.8,21.9,35.6,35.6,13.4,89.3,0.111,22.9,67.3,0.332,35.5,2.7,35.0,0,0,6,R,24.0,188
Tyler Freeman,Shota Imanaga,1.5,34.8,19.7,25.0,27.9,10.2,87.5,0.091,11.9,68.0,0.325,38.6,1.5,27.3,0,0,6,R,26.5,132
Michael Conforto,Michael Lorenzen,14.5,53.2,37.1,25.8,25.4,18.2,93.9,0.213,32.8,62.4,0.346,41.9,14.5,25.8,0,0,6,R,16.1,62
Pete Crow-Armstrong,Michael Lorenzen,11.3,49.7,33.3,19.0,38.3,19.6,91.4,0.193,28.0,68.5,0.357,47.7,11.3,24.6,0,0,6,R,21.5,195
Ian Happ,Michael Lorenzen,15.0,46.3,35.6,19.4,25.0,16.0,90.2,0.226,31.8,64.7,0.335,44.4,15.0,13.8,0,0,6,L,21.3,160
Michael Busch,Michael Lorenzen,11.6,43.4,35.4,20.6,24.7,15.3,88.7,0.186,25.9,61.5,0.353,36.5,11.6,24.9,0,0,6,L,27.0,189
Seiya Suzuki,Michael Lorenzen,9.5,41.5,25.9,28.6,24.0,18.3,89.2,0.180,27.0,61.8,0.333,40.8,9.5,26.5,0,0,6,R,25.2,147
Dansby Swanson,Michael Lorenzen,6.7,39.6,32.3,16.5,25.2,17.1,89.0,0.132,31.1,66.6,0.283,45.7,6.7,14.6,0,0,6,R,22.0,164
Alex Bregman,Michael Lorenzen,5.2,38.2,23.2,27.0,22.4,15.4,88.0,0.127,17.7,58.4,0.315,46.8,5.2,27.9,0,0,6,R,17.2,233
Carson Kelly,Michael Lorenzen,6.6,38.7,23.4,24.1,28.5,13.9,88.8,0.137,22.0,68.4,0.319,36.5,6.6,29.2,0,0,6,R,21.9,137
Junior Caminero,Walbert Urena,12.1,49.8,20.7,19.7,27.8,7.8,92.8,0.198,22.2,60.2,0.361,42.3,12.1,19.7,0,0,6,R,19.7,208
Jonathan Aranda,Walbert Urena,12.4,46.1,31.8,26.8,28.0,14.2,90.8,0.210,22.2,61.9,0.374,27.9,12.4,27.4,0,0,6,L,25.7,179
Yandy Diaz,Walbert Urena,8.4,45.1,23.0,23.0,26.7,7.3,90.6,0.175,13.8,66.5,0.370,19.4,8.4,27.2,0,0,6,R,32.7,217
Ben Williamson,Walbert Urena,1.7,37.6,13.7,29.1,29.9,4.0,88.5,0.093,17.8,53.2,0.307,27.4,1.7,29.1,0,0,6,R,33.3,117
Cedric Mullins,Walbert Urena,3.7,31.1,33.1,19.9,28.3,29.0,88.4,0.096,20.2,71.2,0.267,44.6,3.7,16.9,0,0,6,L,24.1,166
Mike Trout,Nick Martinez,20.8,51.7,35.6,22.4,19.1,19.7,91.4,0.295,22.9,60.8,0.410,40.2,20.8,21.3,0,0,6,R,24.1,174
Jo Adell,Nick Martinez,8.5,45.8,26.3,25.4,38.3,17.9,90.7,0.185,26.4,76.9,0.335,39.0,8.5,25.4,0,0,6,R,25.4,213
Zach Neto,Nick Martinez,11.6,37.0,36.8,22.4,32.9,22.2,89.6,0.190,31.0,70.6,0.311,50.0,11.6,20.7,0,0,6,R,20.7,174
Oswald Peraza,Nick Martinez,8.8,37.2,21.6,26.4,38.5,10.0,87.4,0.148,30.5,74.8,0.311,35.8,8.8,24.3,0,0,6,R,23.0,148
Logan OHoppe,Nick Martinez,12.0,38.0,30.6,16.7,33.5,16.9,87.0,0.151,28.8,70.5,0.283,45.4,12.0,15.7,0,0,6,R,26.9,108
Nolan Schanuel,Nick Martinez,2.9,31.8,16.5,30.0,28.6,9.9,87.0,0.106,18.8,63.3,0.321,40.0,2.9,30.6,0,0,6,L,22.4,170
Corbin Carroll,Jared Jones,13.4,49.5,28.3,21.5,30.0,13.3,91.9,0.222,29.0,64.1,0.370,44.0,13.4,21.5,0,0,6,L,18.3,191
Ketel Marte,Jared Jones,10.6,45.0,24.9,26.6,33.1,10.6,90.8,0.238,21.6,66.3,0.372,51.5,10.6,26.2,0,0,6,B,17.9,229
Gabriel Moreno,Jared Jones,10.2,44.5,31.3,25.0,32.9,13.8,89.6,0.192,18.1,54.6,0.364,35.9,10.2,28.1,0,0,6,R,39.8,128
Geraldo Perdomo,Jared Jones,2.9,31.3,22.5,28.2,22.4,12.8,87.4,0.083,11.5,56.9,0.334,45.5,2.9,27.3,0,0,6,B,19.6,209
Ryan Waldschmidt,Jared Jones,8.3,36.1,25.0,38.9,24.2,16.2,86.8,0.125,33.7,61.4,0.289,37.5,8.3,29.2,0,0,6,R,23.6,72
Bryan Reynolds,Ryne Nelson,9.9,45.3,22.9,25.0,22.7,5.5,91.1,0.184,28.1,67.3,0.369,41.1,9.9,26.6,0,0,6,B,24.0,192
Brandon Lowe,Ryne Nelson,12.0,44.3,34.4,21.9,32.6,16.9,90.2,0.233,34.5,68.2,0.351,45.4,12.0,23.5,0,0,6,L,18.6,183
Ryan OHearn,Ryne Nelson,6.4,44.6,28.0,24.2,32.3,12.1,89.9,0.154,23.2,60.2,0.325,38.9,6.4,24.8,0,0,6,L,27.4,157
Henry Davis,Ryne Nelson,11.3,38.1,24.7,17.5,30.2,19.8,90.5,0.147,24.6,72.7,0.292,56.7,11.3,18.6,0,0,6,R,12.4,97
Marcell Ozuna,Ryne Nelson,8.1,38.6,29.1,27.6,25.7,21.8,89.5,0.167,30.2,60.0,0.305,39.4,8.1,26.8,0,0,6,R,26.0,127
Spencer Horwitz,Ryne Nelson,7.6,33.7,26.6,20.1,24.7,16.5,86.3,0.127,15.4,58.7,0.328,40.2,7.6,21.7,0,0,6,L,30.4,184
Nick Kurtz,JT Ginn,18.0,57.1,29.2,24.8,21.3,12.5,94.1,0.258,34.8,64.4,0.397,33.5,18.0,22.4,0,0,6,L,28.0,161
Shea Langeliers,JT Ginn,15.2,44.5,32.2,24.2,32.5,21.4,91.8,0.259,25.6,74.0,0.378,38.4,15.2,21.3,0,0,6,R,26.5,211
Tyler Soderstrom,JT Ginn,11.1,44.7,30.2,15.6,27.1,12.9,89.9,0.194,20.8,69.7,0.335,36.7,11.1,19.1,0,0,6,L,21.6,199
Zack Gelof,JT Ginn,8.1,41.2,27.2,20.6,23.8,17.8,88.9,0.166,28.5,66.8,0.288,39.0,8.1,19.9,0,0,6,R,22.1,136
Lawrence Butler,JT Ginn,5.9,45.5,18.9,23.8,25.6,5.4,89.6,0.121,30.1,69.7,0.304,34.4,5.9,27.0,0,0,6,R,28.7,122
Carlos Cortes,JT Ginn,8.9,40.5,20.8,24.8,23.3,8.9,89.8,0.171,18.8,65.2,0.377,28.9,8.9,29.5,0,0,6,L,28.9,149
Shohei Ohtani,Eric Lauer,17.1,53.8,32.4,25.3,28.4,13.0,93.8,0.270,28.0,62.5,0.425,52.2,17.1,26.4,0,0,6,L,22.5,182
Max Muncy,Eric Lauer,16.7,48.7,32.1,19.9,24.4,13.1,90.6,0.274,27.6,63.1,0.394,53.8,16.7,26.9,0,0,6,L,14.7,156
Freddie Freeman,Eric Lauer,12.1,45.8,29.4,23.8,27.4,11.9,90.8,0.229,22.0,75.0,0.378,32.2,12.1,26.2,0,0,6,L,29.9,214
Mookie Betts,Eric Lauer,9.4,37.5,39.1,28.1,20.4,18.5,90.0,0.172,13.4,58.9,0.332,39.1,9.4,24.2,0,0,6,R,19.5,128
Andy Pages,Eric Lauer,9.5,47.7,27.3,25.9,34.2,15.7,89.9,0.181,23.8,67.3,0.342,35.0,9.5,24.1,0,0,6,R,26.8,220
Kyle Tucker,Eric Lauer,5.2,38.1,30.4,25.8,25.0,15.9,88.8,0.122,23.4,72.9,0.323,44.3,5.2,29.3,0,0,6,L,21.6,194
