Name,Team,Barrel%,HardHit%,FB%,LD%,Chase%,LA,AvgEV,ISO,SwStr%,ZoneContact%,xwOBA,PulledBrl%,BrlBIP%,SweetSpot%,Last14AVG,Last14HH%,Form,Bats,Oppo%,BBE
Brandon Valenzuela,Toronto Blue Jays,9.3,37.1,25.8,27.8,30.6,16.0,89.3,0.186,25.6,71.7,0.349,41.2,6.2,25.8,0,0,6,R,21.6,97
Kazuma Okamoto,Toronto Blue Jays,14.7,51.3,32.1,21.2,25.8,17.1,92.4,0.215,34.3,65.0,0.324,48.7,5.8,25.0,0,0,6,R,18.6,156
Jesus Sanchez,Toronto Blue Jays,11.9,48.0,25.0,24.3,40.1,10.4,91.6,0.201,24.6,72.5,0.352,33.6,7.9,27.6,0,0,6,R,25.7,152
Ernie Clement,Toronto Blue Jays,3.0,25.7,25.7,24.5,45.1,15.5,85.5,0.096,15.9,71.2,0.276,45.1,7.6,23.6,0,0,6,R,17.3,237
Shohei Ohtani,Los Angeles Dodgers,15.9,52.5,32.2,25.4,29.5,12.9,93.4,0.286,28.5,62.2,0.413,52.5,6.8,22.0,0,0,8,L,23.2,177
Mookie Betts,Los Angeles Dodgers,8.8,35.1,40.4,27.2,21.4,19.9,90.0,0.164,13.8,60.1,0.326,39.5,5.3,27.2,0,0,6,R,20.2,114
Freddie Freeman,Los Angeles Dodgers,11.8,46.3,28.6,24.6,26.9,11.7,91.0,0.218,22.7,74.4,0.375,32.5,8.4,20.2,0,0,7,L,29.6,203
Alex Call,Los Angeles Dodgers,1.5,18.2,22.7,16.7,20.4,14.7,82.9,0.055,12.6,62.9,0.288,45.5,0.0,19.7,0,0,7,L,22.7,66
Kyle Tucker,Los Angeles Dodgers,5.4,39.5,30.3,27.0,24.9,16.1,89.0,0.177,23.9,73.4,0.327,43.8,5.9,31.4,0,0,6,L,21.6,185
Miguel Vargas,Chicago White Sox,14.1,45.3,35.4,22.9,19.4,19.6,89.8,0.264,20.5,70.4,0.394,41.1,8.9,19.3,0,0,7,R,27.1,192
Colson Montgomery,Chicago White Sox,13.7,45.1,34.0,21.6,31.7,19.5,89.8,0.223,38.2,75.6,0.326,52.3,9.8,27.5,0,0,6,L,18.3,153
Jacob Gonzalez,Chicago White Sox,5.9,52.9,23.5,23.5,32.4,16.0,91.5,0.201,25.8,61.5,0.365,52.9,11.8,35.3,0,0,6,L,17.6,17
Sam Antonacci,Chicago White Sox,6.5,36.0,20.1,27.3,21.5,11.5,87.9,0.168,16.3,59.9,0.374,28.1,5.0,37.4,0,0,6,R,28.8,139
Yordan Alvarez,Houston Astros,18.6,54.1,38.8,28.6,26.6,19.2,94.9,0.383,19.5,61.8,0.489,43.4,15.8,22.4,0,0,8,L,21.9,196
Jose Altuve,Houston Astros,5.9,35.5,17.4,26.1,33.7,7.9,86.0,0.113,26.2,62.6,0.301,43.5,2.9,26.8,0,0,7,R,10.1,138
Cam Smith,Houston Astros,13.5,45.2,26.1,22.3,28.8,11.0,89.4,0.200,31.8,65.5,0.338,32.5,3.8,21.7,0,0,7,R,28.7,157
Christian Walker,Houston Astros,11.7,44.7,29.4,19.3,29.3,14.8,90.4,0.184,30.0,73.4,0.318,42.6,6.1,16.8,0,0,6,R,24.4,197
Bobby Witt Jr,Kansas City Royals,13.0,51.6,27.4,28.3,33.6,16.9,93.1,0.212,24.4,66.4,0.384,26.9,7.8,26.0,0,0,7,R,29.2,219
Jac Caglianone,Kansas City Royals,15.6,57.4,24.1,33.3,33.2,8.0,93.8,0.216,31.0,67.3,0.363,39.7,7.8,22.7,0,0,8,R,18.4,141
Salvador Perez,Kansas City Royals,8.1,40.1,30.5,23.4,45.7,17.1,88.6,0.165,25.8,73.7,0.288,39.6,6.1,20.3,0,0,6,R,30.5,197
Vinnie Pasquantino,Kansas City Royals,7.5,38.8,27.4,28.4,30.0,20.2,88.8,0.150,16.0,63.2,0.319,43.3,7.0,23.9,0,0,6,L,22.4,201
Alec Burleson,St Louis Cardinals,11.3,47.7,29.0,20.6,34.7,12.4,91.6,0.257,21.1,65.6,0.389,46.7,6.5,27.6,0,0,7,R,24.3,214
JJ Wetherholt,St Louis Cardinals,7.1,47.0,32.3,22.2,23.3,16.0,90.7,0.187,21.9,66.0,0.350,41.4,11.6,23.7,0,0,7,R,22.7,198
Jordan Walker,St Louis Cardinals,13.5,51.9,27.0,25.9,35.3,14.2,94.6,0.235,31.4,71.9,0.373,39.5,8.1,27.6,0,0,7,R,22.7,185
Ivan Herrera,St Louis Cardinals,6.7,40.8,18.9,21.4,27.7,5.6,89.4,0.144,20.0,62.1,0.363,38.8,7.1,25.5,0,0,6,R,22.4,196
Nolan Gorman,St Louis Cardinals,9.2,43.8,36.9,23.8,31.8,22.3,89.3,0.154,38.9,70.5,0.279,43.1,6.2,19.2,0,0,6,L,26.9,130
Byron Buxton,Minnesota Twins,18.1,46.8,36.8,20.5,35.8,22.5,90.3,0.255,31.2,73.7,0.338,47.4,3.5,17.0,0,0,7,R,21.6,171
Royce Lewis,Minnesota Twins,10.7,39.3,25.0,22.6,32.4,15.1,88.0,0.129,35.7,67.3,0.290,48.8,4.8,23.8,0,0,6,R,16.7,84
Brooks Lee,Minnesota Twins,5.1,29.6,26.5,25.0,35.0,13.0,87.5,0.113,22.0,70.4,0.272,39.8,5.1,24.0,0,0,6,R,26.0,196
Kody Clemens,Minnesota Twins,13.5,43.6,31.5,22.8,30.6,16.7,92.4,0.196,25.4,68.0,0.332,40.9,8.1,22.8,0,0,6,R,26.2,149
Josh Bell,Minnesota Twins,9.8,41.0,25.1,26.8,31.3,13.3,89.4,0.173,25.7,74.7,0.303,45.4,6.6,21.9,0,0,6,L,23.0,183
Junior Caminero,Tampa Bay Rays,12.5,49.0,20.4,20.4,27.3,8.0,92.5,0.205,21.3,60.3,0.370,41.3,5.0,19.4,0,0,7,R,20.4,201
